Traditional,Simplified,Eng.Tran.,Length,Pinyin,Pinyin.Input,WCount,W.million,log10W,W-CD,W-CD%,log10CD,Dominant.PoS,Dominant.PoS.Freq,All.PoS,All.PoS.Freq
筒,筒,tube/cylinder,1,tong3,tong,268,7.99,2.4281,189,3.03,2.2765,g,258,.g.q.,.258.10.
粉色,粉色,white/light pink/erotic/beautiful woman/powdered (with make-up),2,fen3 se4,fense,255,7.6,2.4065,189,3.03,2.2765,n,255,.n.,.255.
動物園,动物园,zoo,3,dong4 wu4 yuan2,dongwuyuan,321,9.57,2.5065,189,3.03,2.2765,n,321,.n.,.321.
充足,充足,adequate/sufficient/abundant,2,chong1 zu2,chongzu,204,6.08,2.3096,188,3.01,2.2742,a,204,.a.,.204.
佩服,佩服,admire,2,pei4 fu2,peifu,214,6.38,2.3304,188,3.01,2.2742,v,214,.v.,.214.
亦,亦,also,1,yi4,yi,251,7.48,2.3997,188,3.01,2.2742,d,251,.d.,.251.
杜,杜,birchleaf pear (tree)/to stop/to prevent/to restrict/fabricate/surname Du,1,du4,du,601,17.92,2.7789,188,3.01,2.2742,nr,342,.nr.g.,.342.259.
心底,心底,bottom of one's heart,2,xin1 di3,xindi,214,6.38,2.3304,188,3.01,2.2742,n,213,.n.s.,.213.1.
辯,辩,dispute/debate/argue/discuss,1,bian4,bian,402,11.98,2.6042,188,3.01,2.2742,g,402,.g.,.402.
老太太,老太太,elderly lady (respectful)/esteemed mother,3,lao3 tai4 tai5,laotaitai,263,7.84,2.42,188,3.01,2.2742,n,263,.n.,.263.
幻,幻,fantasy,1,huan4,huan,282,8.41,2.4502,188,3.01,2.2742,g,282,.g.,.282.
可行,可行,feasible,2,ke3 xing2,kexing,205,6.11,2.3118,188,3.01,2.2742,a,205,.a.,.205.
大多,大多,for the most part/many/most/the greater part/mostly,2,da4 duo1,daduo,204,6.08,2.3096,188,3.01,2.2742,d,186,.d.m.,.186.18.
損害,损害,harm/to damage/to injure/to infringe,2,sun3 hai4,sunhai,214,6.38,2.3304,188,3.01,2.2742,v,163,.v.vn.,.163.51.
鼓舞,鼓舞,heartening (news)/boost (morale),2,gu3 wu3,guwu,216,6.44,2.3345,188,3.01,2.2742,v,165,.v.vn.,.165.51.
介,介,introduce/lie between/between,1,jie4,jie,304,9.06,2.4829,188,3.01,2.2742,g,304,.g.,.304.
眼下,眼下,now/at present,2,yan3 xia4,yanxia,228,6.8,2.3579,188,3.01,2.2742,t,228,.t.,.228.
挑剔,挑剔,picky/fussy,2,tiao1 ti5,tiaoti,215,6.41,2.3324,188,3.01,2.2742,v,158,.v.a.vn.,.158.53.4.
野餐,野餐,picnic,2,ye3 can1,yecan,254,7.57,2.4048,188,3.01,2.2742,n,254,.n.,.254.
肋骨,肋骨,rib,2,lei4 gu3,leigu,256,7.63,2.4082,188,3.01,2.2742,n,256,.n.,.256.
菲,菲,rich/luxurious/(chem.) phenanthrene/abbr. for Philippines,1,fei1/fei3,fei,513,15.29,2.7101,188,3.01,2.2742,b,513,.b.,.513.
規律,规律,rule (e.g. of science)/law of behavior/regular pattern/rhythm/discipline,2,gui1 lu:4,guilv,221,6.59,2.3444,188,3.01,2.2742,n,221,.n.,.221.
沖浪,冲浪,surf/surf-riding,2,chong1 lang4,chonglang,866,25.81,2.9375,188,3.01,2.2742,v,866,.v.,.866.
來往,来往,to come and go,2,lai2 wang3,laiwang,214,6.38,2.3304,188,3.01,2.2742,v,170,.v.vn.,.170.44.
強制,强制,to enforce/enforcement/forcibly,2,qiang2 zhi4,qiangzhi,231,6.89,2.3636,188,3.01,2.2742,v,199,.v.vn.,.199.32.
乘坐,乘坐,to ride (in a vehicle),2,cheng2 zuo4,chengzuo,300,8.94,2.4771,188,3.01,2.2742,v,300,.v.,.300.
統統,统统,totally,2,tong3 tong3,tongtong,213,6.35,2.3284,188,3.01,2.2742,d,213,.d.,.213.
浪,浪,wave/breaker/unrestrained/dissipated,1,lang4,lang,442,13.18,2.6454,188,3.01,2.2742,n,441,.n.g.,.441.1.
單詞,单词,word,2,dan1 ci2,danci,289,8.61,2.4609,188,3.01,2.2742,n,289,.n.,.289.
地帶,地带,zone,2,di4 dai4,didai,229,6.83,2.3598,188,3.01,2.2742,n,229,.n.,.229.
箭,箭,arrow,1,jian4,jian,389,11.6,2.5899,187,3,2.2718,n,389,.n.,.389.
徽章,徽章,badge/emblem/insignia/crest/logo/coat of arms,2,hui1 zhang1,huizhang,321,9.57,2.5065,187,3,2.2718,n,321,.n.,.321.
灣,湾,bay/gulf,1,wan1,wan,354,10.55,2.549,187,3,2.2718,g,297,.g.v.q.,.297.29.28.
弟兄,弟兄,brother,2,di4 xiong1,dixiong,308,9.18,2.4886,187,3,2.2718,n,308,.n.,.308.
馬車,马车,cart/chariot/carriage/buggy,2,ma3 che1,mache,387,11.54,2.5877,187,3,2.2718,n,387,.n.,.387.
代碼,代码,code (e.g. telephone area code)/computer code (e.g. virus),2,dai4 ma3,daima,375,11.18,2.574,187,3,2.2718,n,375,.n.,.375.
膽子,胆子,courage/nerves,2,dan3 zi5,danzi,213,6.35,2.3284,187,3,2.2718,n,213,.n.,.213.
聾,聋,deaf,1,long2,long,253,7.54,2.4031,187,3,2.2718,v,253,.v.,.253.
消化,消化,digest/digestion/digestive,2,xiao1 hua4,xiaohua,224,6.68,2.3502,187,3,2.2718,v,203,.v.vn.,.203.21.
效力,效力,effectiveness/positive effect/to serve (in some capacity),2,xiao4 li4,xiaoli,227,6.77,2.356,187,3,2.2718,n,174,.n.v.,.174.53.
祖國,祖国,homeland/motherland,2,zu3 guo2,zuguo,280,8.35,2.4472,187,3,2.2718,n,280,.n.,.280.
看樣子,看样子,it seems/it looks as if,3,kan4 yang4 zi5,kanyangzi,220,6.56,2.3424,187,3,2.2718,v,220,.v.,.220.
天分,天分,natural gift/talent,2,tian1 fen4,tianfen,233,6.95,2.3674,187,3,2.2718,n,233,.n.,.233.
姐,姐,older sister,1,jie3,jie,287,8.56,2.4579,187,3,2.2718,n,287,.n.,.287.
獄,狱,prison,1,yu4,yu,402,11.98,2.6042,187,3,2.2718,g,402,.g.,.402.
道具,道具,stage props,2,dao4 ju4,daoju,299,8.91,2.4757,187,3,2.2718,n,299,.n.,.299.
棍子,棍子,stick/rod,2,gun4 zi5,gunzi,269,8.02,2.4298,187,3,2.2718,n,269,.n.,.269.
測驗,测验,test/to test,2,ce4 yan4,ceyan,284,8.47,2.4533,187,3,2.2718,vn,242,.vn.v.,.242.42.
對准,对准,to aim at/to target/to point at/to be directed at/registration/alignment (mechanical engineering),2,dui4 zhun3,duizhun,224,6.68,2.3502,187,3,2.2718,v,224,.v.,.224.
現身,现身,to appear in the flesh,2,xian4 shen1,xianshen,230,6.86,2.3617,187,3,2.2718,v,230,.v.,.230.
刪,删,to delete,1,shan1,shan,259,7.72,2.4133,187,3,2.2718,v,259,.v.,.259.
歧視,歧视,to discriminate against/discrimination,2,qi2 shi4,qishi,298,8.88,2.4742,187,3,2.2718,vn,184,.vn.v.,.184.114.
簽約,签约,to sign up (a recruit),2,qian1 yue1,qianyue,235,7.01,2.3711,187,3,2.2718,v,219,.v.vn.,.219.16.
移植,移植,to transplant,2,yi2 zhi2,yizhi,509,15.17,2.7067,187,3,2.2718,vn,276,.vn.v.,.276.233.
成天,成天,(coll.) all day long/all the time,2,cheng2 tian1,chengtian,209,6.23,2.3201,186,2.98,2.2695,d,209,.d.,.209.
氣球,气球,balloon,2,qi4 qiu2,qiqiu,298,8.88,2.4742,186,2.98,2.2695,n,298,.n.,.298.
席,席,banquet/woven mat/seat/place in a democratic assembly/surname Xi; woven mat/surname Xi,1,xi2,xi,237,7.06,2.3747,186,2.98,2.2695,qt,189,.qt.g.,.189.48.
平凡,平凡,commonplace,2,ping2 fan2,pingfan,247,7.36,2.3927,186,2.98,2.2695,a,247,.a.,.247.
刑事,刑事,criminal/penal,2,xing2 shi4,xingshi,283,8.44,2.4518,186,2.98,2.2695,b,282,.b.n.,.282.1.
散發,散发,distribute/emit/issue,2,san4 fa1,sanfa,203,6.05,2.3075,186,2.98,2.2695,v,203,.v.,.203.
進化,进化,evolution,2,jin4 hua4,jinhua,290,8.64,2.4624,186,2.98,2.2695,v,231,.v.vn.,.231.59.
卡拉,卡拉,Kara (Togo),2,Ka3 la1,kala,425,12.67,2.6284,186,2.98,2.2695,nr,425,.nr.,.425.
觀念,观念,notion/thought,2,guan1 nian4,guannian,217,6.47,2.3365,186,2.98,2.2695,n,217,.n.,.217.
花生,花生,peanut/groundnut,2,hua1 sheng1,huasheng,305,9.09,2.4843,186,2.98,2.2695,n,305,.n.,.305.
傷感,伤感,sick at heart/psychologically wounded,2,shang1 gan3,shanggan,227,6.77,2.356,186,2.98,2.2695,a,160,.a.an.,.160.67.
火花,火花,spark/sparkle,2,huo3 hua1,huohua,274,8.17,2.4378,186,2.98,2.2695,n,274,.n.,.274.
網球,网球,tennis,2,wang3 qiu2,wangqiu,341,10.16,2.5328,186,2.98,2.2695,n,341,.n.,.341.
老二,老二,the second child or brother (or sister),2,lao3 er4,laoer,311,9.27,2.4928,186,2.98,2.2695,n,309,.n.nr.,.309.2.
從而,从而,thus/thereby,2,cong2 er2,conger,210,6.26,2.3222,186,2.98,2.2695,c,210,.c.,.210.
報導,报导,to cover (report) news/news reporting/story/article,2,bao4 dao3,baodao,337,10.05,2.5276,186,2.98,2.2695,v,337,.v.,.337.
遞,递,to hand over/to pass (i.e. to give)/gradually (increase or decrease)/progressively,1,di4,di,216,6.44,2.3345,186,2.98,2.2695,v,216,.v.,.216.
辦案,办案,to handle a case,2,ban4 an4,banan,246,7.33,2.3909,186,2.98,2.2695,v,190,.v.vn.,.190.56.
兌現,兑现,to honor a check (by paying in cash)/to conclude a deal in cash,2,dui4 xian4,duixian,243,7.24,2.3856,186,2.98,2.2695,v,242,.v.vn.,.242.1.
償還,偿还,to repay/to reimburse,2,chang2 huan2,changhuan,236,7.04,2.3729,186,2.98,2.2695,v,222,.v.vn.,.222.14.
似,似,to seem/to appear/to resemble/similar/-like/pseudo-,1,shi4/si4,si,226,6.74,2.3541,186,2.98,2.2695,g,194,.g.u.d.,.194.18.14.
滑雪,滑雪,to ski/skiing,2,hua2 xue3,huaxue,301,8.97,2.4786,186,2.98,2.2695,vn,195,.vn.v.,.195.106.
年頭,年头,year/start of the year/whole year/a particular year/many years' duration/epoch/a year's harvest/prospects for a year,2,nian2 tou2,niantou,197,5.87,2.2945,186,2.98,2.2695,n,197,.n.,.197.
冒昧,冒昧,"(humble expression) to take the liberty/to make bold/to presume on sb's patience/forgive my arrogance, but...",2,mao4 mei4,maomei,204,6.08,2.3096,185,2.96,2.2672,a,204,.a.,.204.
會計,会计,accountant/accounting,2,kuai4 ji4,kuaiji,300,8.94,2.4771,185,2.96,2.2672,n,300,.n.,.300.
誘餌,诱饵,bait,2,you4 er3,youer,251,7.48,2.3997,185,2.96,2.2672,n,251,.n.,.251.
乳房,乳房,breast/udder,2,ru3 fang2,rufang,310,9.24,2.4914,185,2.96,2.2672,n,310,.n.,.310.
峽谷,峡谷,canyon/gill/ravine,2,xia2 gu3,xiagu,324,9.66,2.5105,185,2.96,2.2672,n,324,.n.,.324.
大象,大象,elephant,2,da4 xiang4,daxiang,416,12.4,2.6191,185,2.96,2.2672,n,416,.n.,.416.
伯,伯,"father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address/Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]",1,bai3/bo2,bo,468,13.95,2.6702,185,2.96,2.2672,g,446,.g.nr.,.446.22.
相片,相片,image/photograph,2,xiang4 pian4,xiangpian,300,8.94,2.4771,185,2.96,2.2672,n,300,.n.,.300.
邀,邀,invite to come,1,yao1,yao,225,6.71,2.3522,185,2.96,2.2672,v,220,.v.vn.,.220.5.
瞎說,瞎说,irresponsible talk,2,xia1 shuo1,xiashuo,208,6.2,2.3181,185,2.96,2.2672,v,208,.v.,.208.
征兆,征兆,omen/sign (that sth is about to happen)/warning sign,2,zheng1 zhao4,zhengzhao,266,7.93,2.4249,185,2.96,2.2672,n,266,.n.,.266.
剝,剥,peel/to skin,1,bao1/bo1,bao,324,9.66,2.5105,185,2.96,2.2672,v,324,.v.,.324.
熱門,热门,popular/hot/in vogue,2,re4 men2,remen,212,6.32,2.3263,185,2.96,2.2672,a,212,.a.,.212.
激進,激进,radical/extreme/extremist,2,ji1 jin4,jijin,241,7.18,2.382,185,2.96,2.2672,a,241,.a.,.241.
血腥,血腥,reeking of blood/bloody (events),2,xue4 xing1,xuexing,274,8.17,2.4378,185,2.96,2.2672,z,210,.z.a.,.210.64.
喝茶,喝茶,to drink tea,2,he1 cha2,hecha,238,7.09,2.3766,185,2.96,2.2672,v,238,.v.,.238.
打斗,打斗,to fight,2,da3 dou4,dadou,274,8.17,2.4378,185,2.96,2.2672,v,274,.v.,.274.
惱火,恼火,to get angry/irritated/to annoy/to aggravate/annoying,2,nao3 huo3,naohuo,221,6.59,2.3444,185,2.96,2.2672,a,212,.a.an.,.212.9.
監聽,监听,to monitor/to listen in/to evesdrop,2,jian1 ting1,jianting,252,7.51,2.4014,185,2.96,2.2672,vn,252,.vn.,.252.
否定,否定,to negate/negative (answer),2,fou3 ding4,fouding,217,6.47,2.3365,185,2.96,2.2672,v,205,.v.vn.,.205.12.
選出,选出,to pick out/to select/to elect,2,xuan3 chu1,xuanchu,249,7.42,2.3962,185,2.96,2.2672,v,249,.v.,.249.
謀,谋,to plan/seek/scheme,1,mou2,mou,197,5.87,2.2945,185,2.96,2.2672,v,197,.v.,.197.
抗爭,抗争,to resist/to make a stand and fight (against),2,kang4 zheng1,kangzheng,225,6.71,2.3522,185,2.96,2.2672,v,186,.v.vn.,.186.39.
採,采,affairs/gather; to pick/to pluck/to collect/to select/to choose/to gather; allotment to a feudal noble,1,cai3/cai4,cai,268,7.99,2.4281,184,2.95,2.2648,v,268,.v.,.268.
飛船,飞船,airship/spaceship,2,fei1 chuan2,feichuan,751,22.39,2.8756,184,2.95,2.2648,n,751,.n.,.751.
堡,堡,"an earthwork/castle/position of defense/stronghold/used in place names, often as phonetic bao for ""burg"" or ""bad""; variant of 铺/used in place names",1,bao3/bu3/pu3/pu4,bao,319,9.51,2.5038,184,2.95,2.2648,g,319,.g.,.319.
改天,改天,another day/some other time/to find another day (for appointment etc)/to take a rain check,2,gai3 tian1,gaitian,215,6.41,2.3324,184,2.95,2.2648,d,215,.d.,.215.
歉意,歉意,apology/regret,2,qian4 yi4,qianyi,197,5.87,2.2945,184,2.95,2.2648,n,197,.n.,.197.
心愛,心爱,beloved,2,xin1 ai4,xinai,219,6.53,2.3404,184,2.95,2.2648,b,219,.b.,.219.
天花板,天花板,ceiling,3,tian1 hua1 ban3,tianhuaban,234,6.98,2.3692,184,2.95,2.2648,n,234,.n.,.234.
能源,能源,energy/power source,2,neng2 yuan2,nengyuan,375,11.18,2.574,184,2.95,2.2648,n,375,.n.,.375.
聖誕老人,圣诞老人,Father Christmas/Santa Claus,4,Sheng4 dan4 Lao3 ren2,shengdanlaoren,953,28.41,2.9791,184,2.95,2.2648,n,953,.n.,.953.
海上,海上,maritime,2,hai3 shang4,haishang,309,9.21,2.49,184,2.95,2.2648,s,309,.s.,.309.
畫家,画家,painter,2,hua4 jia1,huajia,295,8.79,2.4698,184,2.95,2.2648,n,295,.n.,.295.
光芒,光芒,rays of light/brilliant rays/radiance,2,guang1 mang2,guangmang,256,7.63,2.4082,184,2.95,2.2648,n,256,.n.,.256.
副作用,副作用,side effect,3,fu4 zuo4 yong4,fuzuoyong,262,7.81,2.4183,184,2.95,2.2648,n,262,.n.,.262.
激發,激发,to arouse/to excite,2,ji1 fa1,jifa,209,6.23,2.3201,184,2.95,2.2648,v,207,.v.vn.,.207.2.
銷毀,销毁,to destroy (by melting or burning),2,xiao1 hui3,xiaohui,266,7.93,2.4249,184,2.95,2.2648,v,265,.v.vn.,.265.1.
找麻煩,找麻烦,to look for trouble,3,zhao3 ma2 fan5,zhaomafan,213,6.35,2.3284,184,2.95,2.2648,v,213,.v.,.213.
找尋,找寻,to look for/to seek/to find fault,2,zhao3 xun2,zhaoxun,227,6.77,2.356,184,2.95,2.2648,v,204,.v.vn.,.204.23.
走私,走私,to smuggle/to have an illicit affair,2,zou3 si1,zousi,305,9.09,2.4843,184,2.95,2.2648,v,178,.v.vn.,.178.127.
窗帘,窗帘,window curtains,2,chuang1 lian2,chuanglian,262,7.81,2.4183,184,2.95,2.2648,n,262,.n.,.262.
忠告,忠告,advice/advise,2,zhong1 gao4,zhonggao,213,6.35,2.3284,183,2.93,2.2625,n,206,.n.v.,.206.7.
細菌,细菌,bacterial/virus/germ,2,xi4 jun1,xijun,336,10.02,2.5263,183,2.93,2.2625,n,336,.n.,.336.
賭場,赌场,casino,2,du3 chang3,duchang,533,15.89,2.7267,183,2.93,2.2625,n,533,.n.,.533.
塌,塌,collapse,1,ta1,ta,261,7.78,2.4166,183,2.93,2.2625,v,261,.v.,.261.
化妝品,化妆品,cosmetic/make-up product,3,hua4 zhuang1 pin3,huazhuangpin,285,8.5,2.4548,183,2.93,2.2625,n,285,.n.,.285.
健身房,健身房,gym/gymnasium,3,jian4 shen1 fang2,jianshenfang,271,8.08,2.433,183,2.93,2.2625,n,271,.n.,.271.
一無是處,一无是处,not one good point/everything about it is wrong,4,yi1 wu2 shi4 chu4,yiwushichu,208,6.2,2.3181,183,2.93,2.2625,v,208,.v.,.208.
突發,突发,outburst,2,tu1 fa1,tufa,212,6.32,2.3263,183,2.93,2.2625,vn,130,.vn.v.,.130.82.
哲學,哲学,philosophy,2,zhe2 xue2,zhexue,240,7.15,2.3802,183,2.93,2.2625,n,240,.n.,.240.
人情,人情,reason/human emotions/human interaction/social relationship/friendship/favor/a good turn,2,ren2 qing2,renqing,207,6.17,2.316,183,2.93,2.2625,n,207,.n.,.207.
特意,特意,specially/intentionally,2,te4 yi4,teyi,209,6.23,2.3201,183,2.93,2.2625,d,209,.d.,.209.
身亡,身亡,to die,2,shen1 wang2,shenwang,226,6.74,2.3541,183,2.93,2.2625,v,226,.v.,.226.
點火,点火,to ignite/to light a fire/to agitate/to start an engine/ignition/fig. to stir up trouble,2,dian3 huo3,dianhuo,236,7.04,2.3729,183,2.93,2.2625,v,199,.v.vn.,.199.37.
收買,收买,to purchase/to bribe,2,shou1 mai3,shoumai,245,7.3,2.3892,183,2.93,2.2625,v,242,.v.vn.,.242.3.
磕,磕,to tap/knock,1,ke1,ke,264,7.87,2.4216,183,2.93,2.2625,v,264,.v.,.264.
搜集,搜集,collect/gather,2,sou1 ji2,souji,207,6.17,2.316,182,2.92,2.2601,v,199,.v.vn.,.199.8.
魯,鲁,crass/place name/abbr. for Shandong 山gq|山东 province in east China/surname Lu,1,lu3,lu,446,13.29,2.6493,182,2.92,2.2601,b,393,.b.n.nr.,.393.39.14.
眾人,众人,everyone,2,zhong4 ren2,zhongren,240,7.15,2.3802,182,2.92,2.2601,n,240,.n.,.240.
王國,王国,kingdom/realm,2,wang2 guo2,wangguo,336,10.02,2.5263,182,2.92,2.2601,n,332,.n.nr.,.332.4.
痛快,痛快,overjoyed/delighted/happily/heartily/enjoying/also pr. tong4 kuai5; jolly,2,tong4 kuai5,tongkuai,200,5.96,2.301,182,2.92,2.2601,a,198,.a.an.,.198.2.
漆,漆,paint/lacquer,1,qi1,qi,263,7.84,2.42,182,2.92,2.2601,n,172,.n.v.,.172.91.
資產,资产,property/assets,2,zi1 chan3,zichan,267,7.96,2.4265,182,2.92,2.2601,n,267,.n.,.267.
合格,合格,qualified/eligible (voter),2,he2 ge2,hege,221,6.59,2.3444,182,2.92,2.2601,v,218,.v.vn.,.218.3.
櫃台,柜台,sales counter/front desk/bar,2,gui4 tai2,guitai,237,7.06,2.3747,182,2.92,2.2601,n,237,.n.,.237.
下水道,下水道,sewer,3,xia4 shui3 dao4,xiashuidao,291,8.67,2.4639,182,2.92,2.2601,n,291,.n.,.291.
皮帶,皮带,strap/leather belt,2,pi2 dai4,pidai,281,8.38,2.4487,182,2.92,2.2601,n,281,.n.,.281.
西方,西方,the West/the Occident/Western countries,2,xi1 fang1,xifang,257,7.66,2.4099,182,2.92,2.2601,s,256,.s.f.,.256.1.
何必,何必,there is no need/why should,2,he2 bi4,hebi,209,6.23,2.3201,182,2.92,2.2601,d,207,.d.r.,.207.2.
吸取,吸取,"to absorb/to draw (a lesson, insight etc)/to assimilate",2,xi1 qu3,xiqu,210,6.26,2.3222,182,2.92,2.2601,v,210,.v.,.210.
覆蓋,覆盖,to cover,2,fu4 gai4,fugai,217,6.47,2.3365,182,2.92,2.2601,v,195,.v.vn.,.195.22.
通緝,通缉,to order the arrest of sb as criminal/to list as wanted,2,tong1 ji1,tongji,214,6.38,2.3304,182,2.92,2.2601,v,209,.v.vn.,.209.5.
亂跑,乱跑,to randomly run,2,luan4 pao3,luanpao,200,5.96,2.301,182,2.92,2.2601,v,200,.v.,.200.
辨認,辨认,to recognize/to identify,2,bian4 ren4,bianren,209,6.23,2.3201,182,2.92,2.2601,v,204,.v.vn.,.204.5.
破碎,破碎,to smash to pieces/to shatter,2,po4 sui4,posui,200,5.96,2.301,182,2.92,2.2601,a,109,.a.v.vn.,.109.90.1.
口氣,口气,tone of voice/the way one speaks/manner of expression/tone,2,kou3 qi4,kouqi,203,6.05,2.3075,182,2.92,2.2601,n,203,.n.,.203.
選票,选票,a vote/ballot,2,xuan3 piao4,xuanpiao,355,10.58,2.5502,181,2.9,2.2577,n,355,.n.,.355.
住址,住址,address,2,zhu4 zhi3,zhuzhi,214,6.38,2.3304,181,2.9,2.2577,n,214,.n.,.214.
自大,自大,arrogant,2,zi4 da4,zida,210,6.26,2.3222,181,2.9,2.2577,a,167,.a.an.,.167.43.
毆打,殴打,beat up,2,ou1 da3,ouda,236,7.04,2.3729,181,2.9,2.2577,v,227,.v.vn.,.227.9.
出血,出血,bleeding/hemorrhage/fig. spending money,2,chu1 xue4,chuxue,266,7.93,2.4249,181,2.9,2.2577,v,250,.v.vn.,.250.16.
個子,个子,height/stature/build/size,2,ge4 zi5,gezi,212,6.32,2.3263,181,2.9,2.2577,n,212,.n.,.212.
外加,外加,in addition/extra,2,wai4 jia1,waijia,204,6.08,2.3096,181,2.9,2.2577,v,204,.v.,.204.
影響力,影响力,influence/impact,3,ying3 xiang3 li4,yingxiangli,209,6.23,2.3201,181,2.9,2.2577,n,209,.n.,.209.
男子漢,男子汉,"man (i.e. manly, masculine)",3,nan2 zi3 han4,nanzihan,240,7.15,2.3802,181,2.9,2.2577,n,240,.n.,.240.
中部,中部,middle part/central section,2,zhong1 bu4,zhongbu,218,6.5,2.3385,181,2.9,2.2577,f,218,.f.,.218.
洋蔥,洋葱,onion,2,yang2 cong1,yangcong,288,8.59,2.4594,181,2.9,2.2577,n,288,.n.,.288.
議會,议会,parliament/legislative assembly,2,yi4 hui4,yihui,368,10.97,2.5658,181,2.9,2.2577,n,368,.n.,.368.
開戰,开战,start a war,2,kai1 zhan4,kaizhan,262,7.81,2.4183,181,2.9,2.2577,v,262,.v.,.262.
游蕩,游荡,stray,2,you2 dang4,youdang,225,6.71,2.3522,181,2.9,2.2577,v,221,.v.vn.,.221.4.
演示,演示,to demonstrate/to show,2,yan3 shi4,yanshi,284,8.47,2.4533,181,2.9,2.2577,v,217,.v.vn.,.217.67.
加密,加密,to encrypt/encryption,2,jia1 mi4,jiami,266,7.93,2.4249,181,2.9,2.2577,vn,174,.vn.v.,.174.92.
衛,卫,"to guard/to protect/to defend/abbr. for 卫生间, toilet/surname Wei",1,wei4,wei,337,10.05,2.5276,181,2.9,2.2577,g,223,.g.v.,.223.114.
辦公,办公,to handle official business/to work (esp. in an office),2,ban4 gong1,bangong,231,6.89,2.3636,181,2.9,2.2577,vn,152,.vn.v.,.152.79.
琢磨,琢磨,to polish (jade)/fig. to think through/to mull over,2,zhuo2 mo2,zhuomo,202,6.02,2.3054,181,2.9,2.2577,v,202,.v.,.202.
總結,总结,to sum up/to conclude/summary/resume,2,zong3 jie2,zongjie,200,5.96,2.301,181,2.9,2.2577,v,172,.v.vn.,.172.28.
袖手旁觀,袖手旁观,to watch with folded arms (idiom); to look on without lifting a finger,4,xiu4 shou3 pang2 guan1,xiushoupangguan,206,6.14,2.3139,181,2.9,2.2577,v,206,.v.,.206.
用處,用处,usefulness,2,yong4 chu5,yongchu,191,5.69,2.281,181,2.9,2.2577,n,191,.n.,.191.
越南,越南,Vietnam/Vietnamese,2,Yue4 nan2,yuenan,379,11.3,2.5786,181,2.9,2.2577,ns,379,.ns.,.379.
志願者,志愿者,volunteer,3,zhi4 yuan4 zhe3,zhiyuanzhe,244,7.27,2.3874,181,2.9,2.2577,n,244,.n.,.244.
壽,寿,(long) life,1,shou4,shou,328,9.78,2.5159,180,2.88,2.2553,g,328,.g.,.328.
上訴,上诉,appeal (a judicial case),2,shang4 su4,shangsu,310,9.24,2.4914,180,2.88,2.2553,v,242,.v.vn.,.242.68.
露營,露营,camp,2,lu4 ying2,luying,295,8.79,2.4698,180,2.88,2.2553,v,295,.v.,.295.
自負,自负,conceited/responsible,2,zi4 fu4,zifu,215,6.41,2.3324,180,2.88,2.2553,v,146,.v.a.,.146.69.
現狀,现状,current situation,2,xian4 zhuang4,xianzhuang,201,5.99,2.3032,180,2.88,2.2553,n,201,.n.,.201.
火腿,火腿,ham,2,huo3 tui3,huotui,264,7.87,2.4216,180,2.88,2.2553,n,264,.n.,.264.
冰激凌,冰激凌,ice cream,3,bing1 ji1 ling2,bingjiling,292,8.7,2.4654,180,2.88,2.2553,n,292,.n.,.292.
仙,仙,immortal,1,xian1,xian,413,12.31,2.616,180,2.88,2.2553,g,413,.g.,.413.
著陸,着陆,landing/touchdown/to land/to touch down,2,zhuo2 lu4,zhuolu,332,9.9,2.5211,180,2.88,2.2553,v,303,.v.vn.,.303.29.
處方,处方,medical prescription/recipe/formula/闭目养神 [bi4 mu4 yang3 shen2]/to meditate with closed eyes,2,chu3 fang1,chufang,273,8.14,2.4362,180,2.88,2.2553,n,269,.n.v.,.269.4.
隊友,队友,"member of same class, team, work group etc/teammate",2,dui4 you3,duiyou,336,10.02,2.5263,180,2.88,2.2553,n,336,.n.,.336.
膽量,胆量,nerve,2,dan3 liang4,danliang,222,6.62,2.3464,180,2.88,2.2553,n,222,.n.,.222.
侄女,侄女,niece/brother's daughter,2,zhi2 nu:3,zhinv,271,8.08,2.433,180,2.88,2.2553,n,271,.n.,.271.
性關系,性关系,sexual relations/sexual contact/intercourse,3,xing4 guan1 xi5,xingguanxi,257,7.66,2.4099,180,2.88,2.2553,n,257,.n.,.257.
擴散,扩散,spread/proliferation/diffusion,2,kuo4 san4,kuosan,229,6.83,2.3598,180,2.88,2.2553,v,211,.v.vn.,.211.18.
盼,盼,to hope for/to long for/to expect,1,pan4,pan,218,6.5,2.3385,180,2.88,2.2553,v,218,.v.,.218.
疏散,疏散,to scatter/to disperse/to evacuate/to relax by taking a stroll,2,shu1 san4,shusan,299,8.91,2.4757,180,2.88,2.2553,v,274,.v.vn.,.274.25.
車道,车道,traffic lane,2,che1 dao4,chedao,224,6.68,2.3502,180,2.88,2.2553,n,224,.n.,.224.
卸,卸,unload/take off,1,xie4,xie,208,6.2,2.3181,180,2.88,2.2553,v,208,.v.,.208.
好不容易,好不容易,very difficult/after all the trouble,4,hao3 bu4 rong2 yi4,haoburongyi,198,5.9,2.2967,180,2.88,2.2553,l,198,.l.,.198.
忙碌,忙碌,busy/bustling,2,mang2 lu4,manglu,192,5.72,2.2833,179,2.87,2.2529,a,185,.a.v.an.,.185.5.2.
